center,in_degree,out_degree,total_degree,weighted_in_degree,weighted_out_degree,weighted_total_degree,betweenness_centrality,pagerank,source_trips,source_delayed_trips,source_avg_delay_ratio,destination_trips,destination_delayed_trips,destination_avg_delay_ratio,total_trips_handled,total_delayed_trips_handled,hub_delay_rate,weighted_total_degree_scaled,betweenness_centrality_scaled,pagerank_scaled,hub_delay_rate_scaled,total_delayed_trips_handled_scaled,bottleneck_score
IND000000ABD,1,1,2,13,12,25,0.0004031846111184086,0.0005641801059210019,12.0,12.0,1.704054054054054,13.0,7.0,1.2121212121212122,25.0,19.0,0.76,0.01206030150753769,0.0018307625981496796,0.02334670805384921,0.76,0.009849663037843442,0.12361955709286819
IND562132AAA,36,35,71,665,768,1433,0.1249428383249191,0.013163187202796441,768.0,743.0,1.8135489160916964,665.0,637.0,1.8593061654606982,1433.0,1380.0,0.9630146545708305,0.7195979899497488,0.5673348362116603,0.6791864133270352,0.9630146545708305,0.7153965785381027,0.7093321741720993
IND000000ABG,0,1,1,0,11,11,0.0,0.00011567822643110314,11.0,11.0,7.0,0.0,0.0,0.0,11.0,11.0,1.0,0.005025125628140704,0.0,0.0,1.0,0.005702436495593571,0.1521116468813742
IND501359AAF,3,0,3,59,0,59,0.0,0.0004942615219110023,0.0,0.0,0.0,59.0,59.0,4.186075589656152,59.0,59.0,1.0,0.029145728643216084,0.0,0.019707105093262834,1.0,0.030585795749092794,0.1658157225418205
IND000000ACA,13,9,22,134,128,262,0.008060043492855789,0.00386701966230094,128.0,125.0,1.7606706832978098,134.0,122.0,2.141608643771949,262.0,247.0,0.9427480916030534,0.13115577889447236,0.03659868397568002,0.19527559932005392,0.9427480916030534,0.12804561949196475,0.2416127922458016
IND140406AAA,1,1,2,2,7,9,0.00020250448793730024,0.0001670733939337369,7.0,5.0,1.5833333333333333,2.0,2.0,1.7567567567567568,9.0,7.0,0.7777777777777778,0.004020100502512563,0.0009195232959032327,0.0026753688801201417,0.7777777777777778,0.0036288232244686366,0.11898096987596495
IND142001AAB,2,2,4,27,30,57,0.001200067136623028,0.0007640273244859251,30.0,30.0,2.148338220918866,27.0,27.0,1.790925141242938,57.0,57.0,1.0,0.028140703517587944,0.005449211027433752,0.03374972949160919,1.0,0.029548989113530325,0.1695797729016068
IND142401AAA,2,1,3,15,6,21,0.0,0.0005545643945690933,6.0,6.0,1.875,15.0,14.0,1.7484051036682615,21.0,20.0,0.9523809523809523,0.010050251256281409,0.0,0.0228461634275515,0.9523809523809523,0.010368066355624676,0.15149414831006722
IND143001AAA,3,1,4,29,19,48,0.0,0.0010556720868415562,19.0,19.0,2.272727272727273,29.0,29.0,1.72858451672011,48.0,48.0,1.0,0.02361809045226131,0.0,0.0489312603469431,1.0,0.024883359253499222,0.1694232785704788
IND144001AAB,5,5,10,76,58,134,0.003630485864821869,0.0026455615903407453,58.0,56.0,3.060155967613677,76.0,76.0,2.0164077115392907,134.0,132.0,0.9850746268656716,0.06683417085427136,0.016485147377003902,0.13169275538970987,0.9850746268656716,0.06842923794712286,0.20519396035767995
IND144514AAA,1,2,3,12,6,18,0.00040500897587460047,0.0004240492314469057,6.0,6.0,1.7370689655172415,12.0,10.0,1.8174603174603172,18.0,16.0,0.8888888888888888,0.008542713567839198,0.0018390465918064654,0.016052213280720845,0.8888888888888888,0.00829445308449974,0.14038338399206388
IND147301AAA,2,2,4,4,2,6,0.00020250448793730024,0.00023627603205911632,2.0,2.0,1.4333333333333333,4.0,4.0,1.5909822866344605,6.0,6.0,1.0,0.0025125628140703522,0.0009195232959032327,0.006277703369123763,1.0,0.003110419906687403,0.15258012518732125
IND152026AAA,6,7,13,35,37,72,0.004246026533561014,0.0013899308179298325,37.0,26.0,2.4042093566986544,35.0,35.0,2.4078791206993926,72.0,61.0,0.8472222222222222,0.035678391959799,0.019280166836803458,0.06633105590196672,0.8472222222222222,0.03162260238465526,0.1588325745705756
IND160002AAC,32,29,61,431,370,801,0.0550782085482796,0.010080949394529474,370.0,350.0,1.871086601788173,431.0,418.0,3.2632945414226624,801.0,768.0,0.9588014981273408,0.4020100502512563,0.2500966589562235,0.5187409178834299,0.9588014981273408,0.39813374805598756,0.4703151478060552
IND000000ACB,45,49,94,928,1063,1991,0.22022768627996903,0.019326175845856875,1063.0,1032.0,1.9955233052647754,928.0,897.0,2.016180316583169,1991.0,1929.0,0.9688598694123556,1.0000000000000002,1.0,1.0000000000000002,0.9688598694123556,1.0,0.9953289804118534
IND000000AEL,1,1,2,23,17,40,0.0,0.0004713666270674228,17.0,17.0,1.8448275862068968,23.0,23.0,1.7704918032786885,40.0,40.0,1.0,0.019597989949748748,0.0,0.0185153142663335,1.0,0.020736132711249352,0.16171298024739128
IND110024AAA,3,1,4,31,9,40,0.00040610359472831564,0.0019485801937050985,9.0,9.0,2.0,31.0,31.0,2.7243270753117304,40.0,40.0,1.0,0.019597989949748748,0.001844016988000537,0.09541147780682964,1.0,0.020736132711249352,0.17755321720249065
